PK_Nacionalidad;Nacionalidad;Continente;Extranjero
446;"TURKMENISTÁN                                                                    ";"Asia                                    ";2
447;"UZBEKISTÁN                                                                      ";"Asia                                    ";2
448;"BHUTÁN                                                                          ";"Asia                                    ";2
449;"PALESTINA. ESTADO OBSERVADOR, NO MIEMBRO DE NACIONES UNIDAS                     ";"Asia                                    ";2
499;"OTROS PAÍSES DE ASIA                                                            ";"Asia                                    ";2
501;"AUSTRALIA                                                                       ";"Oceanía                                 ";2
502;"FIJI                                                                            ";"Oceanía                                 ";2
504;"NUEVA ZELANDA                                                                   ";"Oceanía                                 ";2
505;"PAPÚA NUEVA GUINEA                                                              ";"Oceanía                                 ";2
506;"ISLAS SALOMÓN                                                                   ";"Oceanía                                 ";2
507;"SAMOA                                                                           ";"Oceanía                                 ";2
508;"TONGA                                                                           ";"Oceanía                                 ";2
509;"VANUATU                                                                         ";"Oceanía                                 ";2
511;"MICRONESIA                                                                      ";"Oceanía                                 ";2
512;"TUVALU                                                                          ";"Oceanía                                 ";2
513;"ISLAS COOK                                                                      ";"Oceanía                                 ";2
514;"KIRIBATI                                                                        ";"Oceanía                                 ";2
515;"NAURU                                                                           ";"Oceanía                                 ";2
516;"PALAOS                                                                          ";"Oceanía                                 ";2
517;"TIMOR ORIENTAL                                                                  ";"Oceanía                                 ";2
555;"APÁTRIDAS                                                                       ";"Apatridas                               ";2
599;"OTROS PAÍSES DE OCEANÍA                                                         ";"Oceanía                                 ";2
600;"PALESTINA                                                                       ";"Asia                                    ";2
966;"ANTIGUOS TERRITORIOS DE SOBERANÍA ESPAÑOLA                                      ";"España                                  ";2
999;"NO CONSTA                                                                       ";"No consta                               ";2
