PK_Calendario;Fecha;Año;Mes;Trimestre;NombreMes;NombreTrimestre;MesAño;DiasTotales;DiasHabiles;CoeficienteIPI;CoeficienteICM
19131001;1913-10-01;1913;10;4;Octubre;Trim. 4;1913-10-01;NULL;NULL;NULL;NULL
19131101;1913-11-01;1913;11;4;Noviembre;Trim. 4;1913-11-01;NULL;NULL;NULL;NULL
19131201;1913-12-01;1913;12;4;Diciembre;Trim. 4;1913-12-01;NULL;NULL;NULL;NULL
19140101;1914-01-01;1914;1;1;Enero;Trim. 1;1914-01-01;NULL;NULL;NULL;NULL
19140201;1914-02-01;1914;2;1;Febrero;Trim. 1;1914-02-01;NULL;NULL;NULL;NULL
19140301;1914-03-01;1914;3;1;Marzo;Trim. 1;1914-03-01;NULL;NULL;NULL;NULL
19140401;1914-04-01;1914;4;2;Abril;Trim. 2;1914-04-01;NULL;NULL;NULL;NULL
19140501;1914-05-01;1914;5;2;Mayo;Trim. 2;1914-05-01;NULL;NULL;NULL;NULL
19140601;1914-06-01;1914;6;2;Junio;Trim. 2;1914-06-01;NULL;NULL;NULL;NULL
19140701;1914-07-01;1914;7;3;Julio;Trim. 3;1914-07-01;NULL;NULL;NULL;NULL
19140801;1914-08-01;1914;8;3;Agosto;Trim. 3;1914-08-01;NULL;NULL;NULL;NULL
19140901;1914-09-01;1914;9;3;Septiembre;Trim. 3;1914-09-01;NULL;NULL;NULL;NULL
19141001;1914-10-01;1914;10;4;Octubre;Trim. 4;1914-10-01;NULL;NULL;NULL;NULL
19141101;1914-11-01;1914;11;4;Noviembre;Trim. 4;1914-11-01;NULL;NULL;NULL;NULL
19141201;1914-12-01;1914;12;4;Diciembre;Trim. 4;1914-12-01;NULL;NULL;NULL;NULL
19150101;1915-01-01;1915;1;1;Enero;Trim. 1;1915-01-01;NULL;NULL;NULL;NULL
19150201;1915-02-01;1915;2;1;Febrero;Trim. 1;1915-02-01;NULL;NULL;NULL;NULL
19150301;1915-03-01;1915;3;1;Marzo;Trim. 1;1915-03-01;NULL;NULL;NULL;NULL
19150401;1915-04-01;1915;4;2;Abril;Trim. 2;1915-04-01;NULL;NULL;NULL;NULL
19150501;1915-05-01;1915;5;2;Mayo;Trim. 2;1915-05-01;NULL;NULL;NULL;NULL
19150601;1915-06-01;1915;6;2;Junio;Trim. 2;1915-06-01;NULL;NULL;NULL;NULL
19150701;1915-07-01;1915;7;3;Julio;Trim. 3;1915-07-01;NULL;NULL;NULL;NULL
19150801;1915-08-01;1915;8;3;Agosto;Trim. 3;1915-08-01;NULL;NULL;NULL;NULL
19150901;1915-09-01;1915;9;3;Septiembre;Trim. 3;1915-09-01;NULL;NULL;NULL;NULL
19151001;1915-10-01;1915;10;4;Octubre;Trim. 4;1915-10-01;NULL;NULL;NULL;NULL
19151101;1915-11-01;1915;11;4;Noviembre;Trim. 4;1915-11-01;NULL;NULL;NULL;NULL
19151201;1915-12-01;1915;12;4;Diciembre;Trim. 4;1915-12-01;NULL;NULL;NULL;NULL
19160101;1916-01-01;1916;1;1;Enero;Trim. 1;1916-01-01;NULL;NULL;NULL;NULL
19160201;1916-02-01;1916;2;1;Febrero;Trim. 1;1916-02-01;NULL;NULL;NULL;NULL
19160301;1916-03-01;1916;3;1;Marzo;Trim. 1;1916-03-01;NULL;NULL;NULL;NULL
19160401;1916-04-01;1916;4;2;Abril;Trim. 2;1916-04-01;NULL;NULL;NULL;NULL
19160501;1916-05-01;1916;5;2;Mayo;Trim. 2;1916-05-01;NULL;NULL;NULL;NULL
19160601;1916-06-01;1916;6;2;Junio;Trim. 2;1916-06-01;NULL;NULL;NULL;NULL
19160701;1916-07-01;1916;7;3;Julio;Trim. 3;1916-07-01;NULL;NULL;NULL;NULL
19160801;1916-08-01;1916;8;3;Agosto;Trim. 3;1916-08-01;NULL;NULL;NULL;NULL
19160901;1916-09-01;1916;9;3;Septiembre;Trim. 3;1916-09-01;NULL;NULL;NULL;NULL
19161001;1916-10-01;1916;10;4;Octubre;Trim. 4;1916-10-01;NULL;NULL;NULL;NULL
19161101;1916-11-01;1916;11;4;Noviembre;Trim. 4;1916-11-01;NULL;NULL;NULL;NULL
19161201;1916-12-01;1916;12;4;Diciembre;Trim. 4;1916-12-01;NULL;NULL;NULL;NULL
19170101;1917-01-01;1917;1;1;Enero;Trim. 1;1917-01-01;NULL;NULL;NULL;NULL
19170201;1917-02-01;1917;2;1;Febrero;Trim. 1;1917-02-01;NULL;NULL;NULL;NULL
19170301;1917-03-01;1917;3;1;Marzo;Trim. 1;1917-03-01;NULL;NULL;NULL;NULL
19170401;1917-04-01;1917;4;2;Abril;Trim. 2;1917-04-01;NULL;NULL;NULL;NULL
19170501;1917-05-01;1917;5;2;Mayo;Trim. 2;1917-05-01;NULL;NULL;NULL;NULL
19170601;1917-06-01;1917;6;2;Junio;Trim. 2;1917-06-01;NULL;NULL;NULL;NULL
19170701;1917-07-01;1917;7;3;Julio;Trim. 3;1917-07-01;NULL;NULL;NULL;NULL
19170801;1917-08-01;1917;8;3;Agosto;Trim. 3;1917-08-01;NULL;NULL;NULL;NULL
19170901;1917-09-01;1917;9;3;Septiembre;Trim. 3;1917-09-01;NULL;NULL;NULL;NULL
19171001;1917-10-01;1917;10;4;Octubre;Trim. 4;1917-10-01;NULL;NULL;NULL;NULL
19171101;1917-11-01;1917;11;4;Noviembre;Trim. 4;1917-11-01;NULL;NULL;NULL;NULL
19171201;1917-12-01;1917;12;4;Diciembre;Trim. 4;1917-12-01;NULL;NULL;NULL;NULL
19180101;1918-01-01;1918;1;1;Enero;Trim. 1;1918-01-01;NULL;NULL;NULL;NULL
19180201;1918-02-01;1918;2;1;Febrero;Trim. 1;1918-02-01;NULL;NULL;NULL;NULL
19180301;1918-03-01;1918;3;1;Marzo;Trim. 1;1918-03-01;NULL;NULL;NULL;NULL
19180401;1918-04-01;1918;4;2;Abril;Trim. 2;1918-04-01;NULL;NULL;NULL;NULL
19180501;1918-05-01;1918;5;2;Mayo;Trim. 2;1918-05-01;NULL;NULL;NULL;NULL
19180601;1918-06-01;1918;6;2;Junio;Trim. 2;1918-06-01;NULL;NULL;NULL;NULL
19180701;1918-07-01;1918;7;3;Julio;Trim. 3;1918-07-01;NULL;NULL;NULL;NULL
19180801;1918-08-01;1918;8;3;Agosto;Trim. 3;1918-08-01;NULL;NULL;NULL;NULL
19180901;1918-09-01;1918;9;3;Septiembre;Trim. 3;1918-09-01;NULL;NULL;NULL;NULL
19181001;1918-10-01;1918;10;4;Octubre;Trim. 4;1918-10-01;NULL;NULL;NULL;NULL
19181101;1918-11-01;1918;11;4;Noviembre;Trim. 4;1918-11-01;NULL;NULL;NULL;NULL
19181201;1918-12-01;1918;12;4;Diciembre;Trim. 4;1918-12-01;NULL;NULL;NULL;NULL
19190101;1919-01-01;1919;1;1;Enero;Trim. 1;1919-01-01;NULL;NULL;NULL;NULL
19190201;1919-02-01;1919;2;1;Febrero;Trim. 1;1919-02-01;NULL;NULL;NULL;NULL
19190301;1919-03-01;1919;3;1;Marzo;Trim. 1;1919-03-01;NULL;NULL;NULL;NULL
19190401;1919-04-01;1919;4;2;Abril;Trim. 2;1919-04-01;NULL;NULL;NULL;NULL
19190501;1919-05-01;1919;5;2;Mayo;Trim. 2;1919-05-01;NULL;NULL;NULL;NULL
19190601;1919-06-01;1919;6;2;Junio;Trim. 2;1919-06-01;NULL;NULL;NULL;NULL
19190701;1919-07-01;1919;7;3;Julio;Trim. 3;1919-07-01;NULL;NULL;NULL;NULL
19190801;1919-08-01;1919;8;3;Agosto;Trim. 3;1919-08-01;NULL;NULL;NULL;NULL
19190901;1919-09-01;1919;9;3;Septiembre;Trim. 3;1919-09-01;NULL;NULL;NULL;NULL
19191001;1919-10-01;1919;10;4;Octubre;Trim. 4;1919-10-01;NULL;NULL;NULL;NULL
19191101;1919-11-01;1919;11;4;Noviembre;Trim. 4;1919-11-01;NULL;NULL;NULL;NULL
19191201;1919-12-01;1919;12;4;Diciembre;Trim. 4;1919-12-01;NULL;NULL;NULL;NULL
19200101;1920-01-01;1920;1;1;Enero;Trim. 1;1920-01-01;NULL;NULL;NULL;NULL
19200201;1920-02-01;1920;2;1;Febrero;Trim. 1;1920-02-01;NULL;NULL;NULL;NULL
19200301;1920-03-01;1920;3;1;Marzo;Trim. 1;1920-03-01;NULL;NULL;NULL;NULL
19200401;1920-04-01;1920;4;2;Abril;Trim. 2;1920-04-01;NULL;NULL;NULL;NULL
19200501;1920-05-01;1920;5;2;Mayo;Trim. 2;1920-05-01;NULL;NULL;NULL;NULL
19200601;1920-06-01;1920;6;2;Junio;Trim. 2;1920-06-01;NULL;NULL;NULL;NULL
19200701;1920-07-01;1920;7;3;Julio;Trim. 3;1920-07-01;NULL;NULL;NULL;NULL
19200801;1920-08-01;1920;8;3;Agosto;Trim. 3;1920-08-01;NULL;NULL;NULL;NULL
19200901;1920-09-01;1920;9;3;Septiembre;Trim. 3;1920-09-01;NULL;NULL;NULL;NULL
19201001;1920-10-01;1920;10;4;Octubre;Trim. 4;1920-10-01;NULL;NULL;NULL;NULL
19201101;1920-11-01;1920;11;4;Noviembre;Trim. 4;1920-11-01;NULL;NULL;NULL;NULL
19201201;1920-12-01;1920;12;4;Diciembre;Trim. 4;1920-12-01;NULL;NULL;NULL;NULL
19210101;1921-01-01;1921;1;1;Enero;Trim. 1;1921-01-01;NULL;NULL;NULL;NULL
19210201;1921-02-01;1921;2;1;Febrero;Trim. 1;1921-02-01;NULL;NULL;NULL;NULL
19210301;1921-03-01;1921;3;1;Marzo;Trim. 1;1921-03-01;NULL;NULL;NULL;NULL
19210401;1921-04-01;1921;4;2;Abril;Trim. 2;1921-04-01;NULL;NULL;NULL;NULL
19210501;1921-05-01;1921;5;2;Mayo;Trim. 2;1921-05-01;NULL;NULL;NULL;NULL
19210601;1921-06-01;1921;6;2;Junio;Trim. 2;1921-06-01;NULL;NULL;NULL;NULL
19210701;1921-07-01;1921;7;3;Julio;Trim. 3;1921-07-01;NULL;NULL;NULL;NULL
19210801;1921-08-01;1921;8;3;Agosto;Trim. 3;1921-08-01;NULL;NULL;NULL;NULL
19210901;1921-09-01;1921;9;3;Septiembre;Trim. 3;1921-09-01;NULL;NULL;NULL;NULL
19211001;1921-10-01;1921;10;4;Octubre;Trim. 4;1921-10-01;NULL;NULL;NULL;NULL
